model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_stories,mean_items_per_story,story_all_correct_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,34,2.9411764705882355,0.20588235294117646
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,34,2.9411764705882355,0.23529411764705882
qwen3_8b,Qwen3-8B,stress,commonsense,nl,34,2.9411764705882355,0.23529411764705882
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,34,2.9411764705882355,0.3235294117647059
qwen3_8b,Qwen3-8B,stress,easy,nl,29,3.4482758620689653,0.2413793103448276
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,29,3.4482758620689653,0.3448275862068966
qwen3_8b,Qwen3-8B,stress,hard,nl,27,3.7037037037037037,0.2962962962962963
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,27,3.7037037037037037,0.25925925925925924
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,10,10.0,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,10,10.0,0.0
